Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Patent citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Sustainable Development Goals (2021),Topic Cluster name,Topic Cluster number,Topic name,Topic number,Topic Cluster Prominence Percentile,Topic Prominence Percentile
A crowdsensing platform for monitoring of vehicular emissions: A smart city perspective,"Silva, M.| Signoretti, G.| Oliveira, J.| Silva, I.| Costa, D.G.",5,57207807053| 57192920994| 57225944507| 36537969500| 35519411300,2019,2019-01-08,Future Internet,11,1,-,13,ISSN-19995903,21100409311,Journal,1.11,26,2.8,44,0.387,44,2.12,48,19,1.93,9.85,9,14,0,"Silva, M., Signoretti, G., Oliveira, J. and 2 more (...) (2019).A crowdsensing platform for monitoring of vehicular emissions: A smart city perspective. Future Internet,11(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85060191355&origin=resultslist,10.3390/fi11010013,Article,Gold|Green,2-s2.0-85060191355,-,Universidade Estadual de Feira de Santana| Universidade Federal do Rio Grande do Norte,2,60023857| 60023857| 60023857| 60013906,Universidade Federal do Rio Grande do Norte| Universidade Federal do Rio Grande do Norte| Universidade Federal do Rio Grande do Norte| Universidade Estadual de Feira de Santana,57207807053,35519411300,57207807053,-,Brazil,1705,Computer Networks and Communications,SDG 11| SDG 13,"Research,Technology,Industry",637,"Smart Cities,Big Data,Internet of Things",13953,80.268,99.839
A new evolving clustering algorithm for online data streams,"Bezerra, C.G.| Costa, B.S.J.| Guedes, L.A.| Angelov, P.P.",4,55314704100| 25122100700| 35761038800| 7003690831,2016,2016-06-30,"Proceedings of the 2016 IEEE Conference on Evolving and Adaptive Intelligent Systems, EAIS 2016",-,-,162-168,7502508,-,21100469683,Conference Proceeding,-,-,-,-,-,-,1.08,23,19,3.29,3.65,19,6,0,"Bezerra, C.G., Costa, B.S.J., Guedes, L.A. and 1 more (...) (2016).A new evolving clustering algorithm for online data streams. Proceedings of the 2016 IEEE Conference on Evolving and Adaptive Intelligent Systems, EAIS 2016,162-168",https://www.scopus.com/record/display.url?eid=2-s2.0-84979870811&origin=resultslist,10.1109/EAIS.2016.7502508,Conference Paper,,2-s2.0-84979870811,-,Universidad Carlos III de Madrid| Lancaster University| Universidade Federal do Rio Grande do Norte,3,112659637| 112659637| 60023857| 60023643| 60117772| 60001741,"Federal Institute of Rio Grande do Norte| Federal Institute of Rio Grande do Norte| Universidade Federal do Rio Grande do Norte| Lancaster University| School of Computing and Communications, Lancaster University| Universidad Carlos III de Madrid",55314704100,7003690831,-,-,United Kingdom| Spain| Brazil,1702| 2207,Artificial Intelligence| Control and Systems Engineering,-,"Fuzzy Systems,Fuzzy Inference,Neural Networks",573,"Fuzzy Modeling,Data Streams,Artificial Intelligence",19733,59.599,93.461
"Complex correntropy function: Properties, and application to a channel equalization problem","Guimarães, J.P.F.| Fontes, A.I.R.| Rego, J.B.A.| Martins, A.D.M.| Principe, J.C.",5,57190426813| 55763633400| 56702327300| 55415511600| 36045958600,2018,2018-10-01,Expert Systems with Applications,107,-,173-181,-,ISSN-09574174,24201,Journal,2.84,3,10.2,2,1.19,6,0.89,22,19,1.66,10.27,13,17,0,"Guimarães, J.P.F., Fontes, A.I.R., Rego, J.B.A. and 2 more (...) (2018).Complex correntropy function: Properties, and application to a channel equalization problem. Expert Systems with Applications,107173-181",https://www.scopus.com/record/display.url?eid=2-s2.0-85046779620&origin=resultslist,10.1016/j.eswa.2018.04.020,Article,Green,2-s2.0-85046779620,-,University of Florida| Universidade Federal do Rio Grande do Norte,2,113089979| 60023857| 60013959,University of Rio de Grande do Norte (URFN)| Universidade Federal do Rio Grande do Norte| University of Florida,57190426813,36045958600,57190426813,-,United States| Brazil,1702| 1706| 2200,Artificial Intelligence| Computer Science Applications| General Engineering,-,"Adaptive Filters,Algorithms,Active Noise Control",1072,"Adaptive Filtering,Impulsive Noise,Mean Square Error",37345,26.555,83.644
Wavelet-fuzzy power quality diagnosis system with inference method based on overlap functions: Case study in an AC microgrid,"Nolasco, D.H.S.| Costa, F.B.| Palmeira, E.S.| Alves, D.K.| Bedregal, B.R.C.| Rocha, T.O.A.| Ribeiro, R.L.A.| Silva, J.C.L.",8,57205543492| 22333585200| 37261839800| 56597608500| 15520790700| 55570200500| 7202534599| 57209599778,2019,2019-10-01,Engineering Applications of Artificial Intelligence,85,-,284-294,-,ISSN-09521976,24182,Journal,2.07,6,8,11,1.011,16,0.99,21,19,1.83,10.38,9,15,0,"Nolasco, D.H.S., Costa, F.B., Palmeira, E.S. and 5 more (...) (2019).Wavelet-fuzzy power quality diagnosis system with inference method based on overlap functions: Case study in an AC microgrid. Engineering Applications of Artificial Intelligence,85284-294",https://www.scopus.com/record/display.url?eid=2-s2.0-85068212977&origin=resultslist,10.1016/j.engappai.2019.05.016,Article,,2-s2.0-85068212977,-,Universidade Estadual de Santa Cruz| Universidade Federal do Rio Grande do Norte,2,122780327| 60023857| 60025637,Federal Institute of Bahia| Universidade Federal do Rio Grande do Norte| Universidade Estadual de Santa Cruz,57205543492,57209599778,57205543492,-,Brazil,1702| 2207| 2208,Artificial Intelligence| Control and Systems Engineering| Electrical and Electronic Engineering,-,"Electric Potential,Electric Inverters,DC-DC Converters",13,"Grid,Power Sharing,Inverters",304,98.462,99.876
A Wavelet-Based Transformer Differential Protection: Internal Fault Detection during Inrush Conditions,"Medeiros, R.P.| Costa, F.B.",2,56682611600| 22333585200,2018,2018-12-01,IEEE Transactions on Power Delivery,33,6,2965-2977,8401893,ISSN-08858977,17370,Journal,2.44,4,8.2,6,1.844,5,0.66,15,19,1.08,12.05,13,27,0,"Medeiros, R.P., Costa, F.B. (2018).A Wavelet-Based Transformer Differential Protection: Internal Fault Detection during Inrush Conditions. IEEE Transactions on Power Delivery,33(6) 2965-2977",https://www.scopus.com/record/display.url?eid=2-s2.0-85049355601&origin=resultslist,10.1109/TPWRD.2018.2852485,Article,,2-s2.0-85049355601,-,Universidade Federal do Rio Grande do Norte,1,115710180| 60023857,Federal Rural University of Semi-Arid| Universidade Federal do Rio Grande do Norte,56682611600,22333585200,56682611600,-,Brazil,2102| 2208,Energy Engineering and Power Technology| Electrical and Electronic Engineering,-,"Electric Fault Location,Electric Lines,Electric Power Distribution",407,"Power Transformer,Electric Instrument Transformers,Electric Fault Currents",5219,64.883,90.632
Real-time boundary wavelet transform-based DC fault protection system for MTDC grids,"Sabug, L.| Musa, A.| Costa, F.| Monti, A.",4,57201013247| 57201014609| 22333585200| 57203094797,2020,2020-02-01,International Journal of Electrical Power and Energy Systems,115,-,-,105475,ISSN-01420615,17985,Journal,1.71,12,7.5,14,1.05,14,1.03,29,19,2.88,6.59,5,8,0,"Sabug, L., Musa, A., Costa, F. and 1 more (...) (2020).Real-time boundary wavelet transform-based DC fault protection system for MTDC grids. International Journal of Electrical Power and Energy Systems,115",https://www.scopus.com/record/display.url?eid=2-s2.0-85070782178&origin=resultslist,10.1016/j.ijepes.2019.105475,Article,,2-s2.0-85070782178,-,E.ON| RWTH Aachen University| Universidade Federal do Rio Grande do Norte,3,60016653| 60025775| 60023857,Rheinisch-Westfälische Technische Hochschule Aachen| E.ON| Universidade Federal do Rio Grande do Norte,57201013247,57203094797,57201013247,-,Germany| Brazil,2102| 2208,Energy Engineering and Power Technology| Electrical and Electronic Engineering,SDG 7,"Electric Potential,Electric Inverters,DC-DC Converters",13,"High Voltage Direct Current System,Offshore Wind Farms,Converter",1954,98.462,99.209
Latency evaluation for MQTT and WebSocket Protocols: An Industry 4.0 perspective,"Silva, D.R.C.| Oliveira, G.M.B.| Silva, I.| Ferrari, P.| Sisinni, E.",5,24722389500| 57203642309| 36537969500| 57195277194| 24777116800,2018,2018-11-15,Proceedings - IEEE Symposium on Computers and Communications,2018-,-,1233-1238,8538692,ISSN-15301346,18707,Conference Proceeding,0.62,56,1.5,30,-,-,3.48,45,18,4.07,3.93,14,4,0,"Silva, D.R.C., Oliveira, G.M.B., Silva, I. and 2 more (...) (2018).Latency evaluation for MQTT and WebSocket Protocols: An Industry 4.0 perspective. Proceedings - IEEE Symposium on Computers and Communications,2018-1233-1238",https://www.scopus.com/record/display.url?eid=2-s2.0-85059212683&origin=resultslist,10.1109/ISCC.2018.8538692,Conference Paper,,2-s2.0-85059212683,-,Universidade Federal do Rio Grande do Norte| University of Brescia,2,60023857| 60015300,Universidade Federal do Rio Grande do Norte| Università degli Studi di Brescia,24722389500,24777116800,-,-,United States| Brazil,1705| 1706| 1711| 1712| 2600,Computer Networks and Communications| Computer Science Applications| Signal Processing| Software| General Mathematics,SDG 9,"Wireless Sensor Networks,Sensor Nodes,Routing Protocols",27,"Fog Computing,Network Protocol,Internet of Things",10997,97.726,99.911
Stairs and doors recognition as natural landmarks based on clouds of 3D edge-points from RGB-D sensors for mobile robot localization,"Souto, L.A.V.| Castro, A.| Gonçalves, L.M.G.| Nascimento, T.P.",4,57188968420| 57209945034| 8843298100| 18038159700,2017,2017-08-08,Sensors (Switzerland),17,8,-,1824,ISSN-14248220,130124,Journal,1.58,10,4.3,16,0.584,26,0.53,13,18,1.4,10,18,21,0,"Souto, L.A.V., Castro, A., Gonçalves, L.M.G. and 1 more (...) (2017).Stairs and doors recognition as natural landmarks based on clouds of 3D edge-points from RGB-D sensors for mobile robot localization. Sensors (Switzerland),17(8) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85027005044&origin=resultslist,10.3390/s17081824,Article,Gold|Green,2-s2.0-85027005044,28786925,Universidade Federal da Paraíba| Universidade Federal do Rio Grande do Norte,2,60023857| 60011324,Universidade Federal do Rio Grande do Norte| Universidade Federal da Paraíba,57188968420,18038159700,18038159700,-,Brazil,1303| 1602| 1710| 2208| 3105| 3107,"Biochemistry| Analytical Chemistry| Information Systems| Electrical and Electronic Engineering| Instrumentation| Atomic and Molecular Physics, and Optics",-,"Location,Algorithms,Wi-Fi",643,"Mobile Robots,Landmarks,Multi-robot Systems",56407,74.582,22.382
Fuzzy controller applied to electric vehicles with continuously variable transmission,"Fernandes, M.A.C.",1,7202947679,2016,2016-11-19,Neurocomputing,214,-,684-691,-,ISSN-09252312,24807,Journal,1.59,10,4.9,17,0.879,24,0.57,23,17,0.78,11.61,21,36,0,"Fernandes, M.A.C. (2016).Fuzzy controller applied to electric vehicles with continuously variable transmission. Neurocomputing,214684-691",https://www.scopus.com/record/display.url?eid=2-s2.0-84992486310&origin=resultslist,10.1016/j.neucom.2016.06.051,Article,,2-s2.0-84992486310,-,Universidade Federal do Rio Grande do Norte,1,60023857,Universidade Federal do Rio Grande do Norte,-,-,-,7202947679,Brazil,1702| 1706| 2805,Artificial Intelligence| Computer Science Applications| Cognitive Neuroscience,SDG 7,"Hybrid Vehicles,Fuel Economy,Electric Vehicles",727,"Engine,Laguerre Polynomials,Lyapunov Theorem",11509,68.161,85.79
Simulation of a Fuzzy Control Applied to a Variable Speed Wind System Connected to the Electrical Network,"Medeiros Rocha, M.| Patrocinio Da Silva, J.| Das Chagas Barbosa De Sena, F.",3,57201472494| 8776554000| 57201471020,2018,2018-02-01,IEEE Latin America Transactions,16,2,521-526,-,ISSN-15480992,19700181218,Journal,0.71,50,1.7,43,0.337,36,1.34,28,17,1.35,10.34,15,21,0,"Medeiros Rocha, M., Patrocinio Da Silva, J., Das Chagas Barbosa De Sena, F. (2018).Simulation of a Fuzzy Control Applied to a Variable Speed Wind System Connected to the Electrical Network. IEEE Latin America Transactions,16(2) 521-526",https://www.scopus.com/record/display.url?eid=2-s2.0-85045015644&origin=resultslist,10.1109/TLA.2018.8327408,Article,,2-s2.0-85045015644,-,Universidade Federal do Rio Grande do Norte,1,60023857,Universidade Federal do Rio Grande do Norte,57201472494,57201471020,57201472494,-,Brazil,1700| 2208,General Computer Science| Electrical and Electronic Engineering,SDG 7,"Gas Turbines,Aircraft Engines,Engines",1137,"Gas Turbines,Controller,Fuel Flow",20116,25.017,75.278
High-Performance Parallel Implementation of Genetic Algorithm on FPGA,"Torquato, M.F.| Fernandes, M.A.C.",2,57195314921| 7202947679,2019,2019-09-15,"Circuits, Systems, and Signal Processing",38,9,4014-4039,-,ISSN-0278081X,18780,Journal,0.98,32,3.8,17,0.419,50,0.71,13,17,2.18,7.81,11,12,0,"Torquato, M.F., Fernandes, M.A.C. (2019).High-Performance Parallel Implementation of Genetic Algorithm on FPGA. Circuits, Systems, and Signal Processing,38(9) 4014-4039",https://www.scopus.com/record/display.url?eid=2-s2.0-85073654664&origin=resultslist,10.1007/s00034-019-01037-w,Article,Green,2-s2.0-85073654664,-,Swansea University| Universidade Federal do Rio Grande do Norte,2,60004572| 60023857,Swansea University| Universidade Federal do Rio Grande do Norte,57195314921,7202947679,7202947679,-,United Kingdom| Brazil,1711| 2604,Signal Processing| Applied Mathematics,-,"Optimization,Algorithms,Evolutionary Algorithms",259,"Genetic Algorithms,Field Programmable Gate Array,Fast",49196,89.03,41.949
Miniaturization of a microstrip patch antenna with a koch fractal contour using a social spider algorithm to optimize shorting post position and inset feeding,"Souza, E.A.M.| Oliveira, P.S.| D'Assunção, A.G.| Mendonça, L.M.| Peixeiro, C.",5,57189465559| 57193753398| 57208902469| 6701515542| 6701730449,2019,2019-01-01,International Journal of Antennas and Propagation,2019,-,-,6284830,ISSN-16875869,19700186861,Journal,0.68,53,2.3,50,0.278,54,0.38,7,16,1.78,9,12,16,0,"Souza, E.A.M., Oliveira, P.S., D'Assunção, A.G. and 2 more (...) (2019).Miniaturization of a microstrip patch antenna with a koch fractal contour using a social spider algorithm to optimize shorting post position and inset feeding. International Journal of Antennas and Propagation,2019",https://www.scopus.com/record/display.url?eid=2-s2.0-85073886812&origin=resultslist,10.1155/2019/6284830,Article,Gold|Green,2-s2.0-85073886812,-,University of Lisbon| Instituto de Telecomunicações| Instituto Nacional de Pesquisas Espaciais| Universidade Federal do Rio Grande do Norte,4,60023857| 60012729| 60004956| 60017375| 60106051,Universidade Federal do Rio Grande do Norte| Instituto Nacional de Pesquisas Espaciais| Instituto Superior Técnico| Instituto de Telecomunicacoes| Universidade de Lisboa,57189465559,6701730449,57208902469,-,Portugal| Brazil,2208,Electrical and Electronic Engineering,-,"Antennas,Slot Antennas,Microwave Antennas",55,"Bandwidth,Defected Ground Structures,Wimax",1408,93.043,93.161
Perception-driven motion control based on stochastic nonlinear model predictive controllers,"Do Nascimento, T.P.| Basso, G.F.| Dorea, C.E.T.| Goncalves, L.M.G.",4,18038159700| 57225807895| 7004096252| 8843298100,2020,2020-08-01,IEEE/ASME Transactions on Mechatronics,24,4,1751-1762,2916562,ISSN-10834435,19113,Journal,2.51,5,11.3,6,1.935,6,0.45,8,16,2.38,6.29,7,10,0,"Do Nascimento, T.P., Basso, G.F., Dorea, C.E.T. and 1 more (...) (2020).Perception-driven motion control based on stochastic nonlinear model predictive controllers. IEEE/ASME Transactions on Mechatronics,24(4) 1751-1762",https://www.scopus.com/record/display.url?eid=2-s2.0-85096091962&origin=resultslist,10.1109/TMECH.2019.2916562,Article,,2-s2.0-85096091962,-,Universidade Federal da Paraíba| Universidade Federal do Rio Grande do Norte,2,60011324| 60023857,Universidade Federal da Paraíba| Universidade Federal do Rio Grande do Norte,18038159700,8843298100,-,-,Brazil,1706| 2207| 2208,Computer Science Applications| Control and Systems Engineering| Electrical and Electronic Engineering,-,"Control,Controllers,Linear Matrix Inequalities",9,"Chance Constraints,Model Predictive Control,Scenarios",19549,97.592,89.156
A model for clustering data from heterogeneous dissimilarities,"Santi, É.| Aloise, D.| Blanchard, S.J.",3,56031625500| 12759644500| 24280915800,2016,2016-09-16,European Journal of Operational Research,253,3,659-672,-,ISSN-03772217,22489,Journal,2.41,3,6,4,2.489,3,0.63,19,16,1.41,7.09,22,21,0,"Santi, É., Aloise, D., Blanchard, S.J. (2016).A model for clustering data from heterogeneous dissimilarities. European Journal of Operational Research,253(3) 659-672",https://www.scopus.com/record/display.url?eid=2-s2.0-84979487013&origin=resultslist,10.1016/j.ejor.2016.03.033,Article,,2-s2.0-84979487013,-,Universidade Federal do Rio Grande do Norte| Georgetown University,2,60023857| 60023857| 60023927| 60116416,Universidade Federal do Rio Grande do Norte| Universidade Federal do Rio Grande do Norte| Georgetown University| McDonough School of Business,56031625500,24280915800,12759644500,-,United States| Brazil,1700| 1802| 1803| 2611,General Computer Science| Information Systems and Management| Management Science and Operations Research| Modeling and Simulation,-,"Global Optimization,Combinatorial Optimization,Integer Programming",1401,"Mixed Integer Nonlinear Programming,Global Optimization,Relaxation",12808,13.311,89.453
High-level path planning for an autonomous sailboat robot using q-learning,"da Silva Junior, A.G.| Dos Santos, D.H.| de Negreiros, A.P.F.| Silva, J.M.V.B.S.| Gonçalves, L.M.G.",5,57190608444| 57190606005| 56131277200| 57199792469| 8843298100,2020,2020-03-02,Sensors (Switzerland),20,6,-,1550,ISSN-14248220,130124,Journal,1.55,15,5.8,10,0.636,26,2.14,39,16,2.67,6,7,9,0,"da Silva Junior, A.G., Dos Santos, D.H., de Negreiros, A.P.F. and 2 more (...) (2020).High-level path planning for an autonomous sailboat robot using q-learning. Sensors (Switzerland),20(6) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85081198696&origin=resultslist,10.3390/s20061550,Article,Gold|Green,2-s2.0-85081198696,32168774,Universidade Federal do Rio Grande do Norte,1,60023857| 108436612,"Universidade Federal do Rio Grande do Norte| Instituto Federal de Educação, Ciência e Tecnologia Do Rio Grande Do Norte (IFRN)",57190608444,8843298100,8843298100,-,Brazil,1303| 1602| 1710| 2208| 3105| 3107,"Biochemistry| Analytical Chemistry| Information Systems| Electrical and Electronic Engineering| Instrumentation| Atomic and Molecular Physics, and Optics",-,"Autonomous Underwater Vehicles,Underwater Acoustics,Remotely Operated Vehicles",1150,"Sailing Vessels,Ice Ridge,Autonomous",49325,40.87,69.75
Enhanced flexible LoRaWAN node for industrial IoT,"Sisinni, E.| Carvalho, D.F.| Ferrari, P.| Flammini, A.| Silva, D.R.C.| Da Silva, I.M.D.",6,24777116800| 57202969056| 57195277194| 7003731569| 24722389500| 36537969500,2018,2018-07-03,"IEEE International Workshop on Factory Communication Systems - Proceedings, WFCS",2018-,-,1-4,-,-,21100868550,Conference Proceeding,-,-,-,-,-,-,1.72,25,16,4.87,2.87,16,3,0,"Sisinni, E., Carvalho, D.F., Ferrari, P. and 3 more (...) (2018).Enhanced flexible LoRaWAN node for industrial IoT. IEEE International Workshop on Factory Communication Systems - Proceedings, WFCS,2018-1-4",https://www.scopus.com/record/display.url?eid=2-s2.0-85050024717&origin=resultslist,10.1109/WFCS.2018.8402367,Conference Paper,,2-s2.0-85050024717,-,Universidade Federal do Rio Grande do Norte| University of Brescia,2,60015300| 60023857| 60023857,Università degli Studi di Brescia| Universidade Federal do Rio Grande do Norte| Universidade Federal do Rio Grande do Norte,24777116800,36537969500,-,-,Italy| Brazil,2208| 2209,Electrical and Electronic Engineering| Industrial and Manufacturing Engineering,SDG 9,"Radio Frequency Identification (RFID),Technology,Internet",872,"Chloralodol,Hyaluronate Lyase,Low Power",45602,74.114,99.395
Fuzzy pay-off method for real options: The center of gravity approach with application in oilfield abandonment,"Borges, R.E.P.| Dias, M.A.G.| Dória Neto, A.D.| Meier, A.",4,57201255828| 7101872308| 7102618949| 56714995900,2018,2018-12-15,Fuzzy Sets and Systems,353,-,111-123,-,ISSN-01650114,26529,Journal,1.93,7,6.6,2,1.347,2,2.11,34,15,1.42,7.03,18,20,0,"Borges, R.E.P., Dias, M.A.G., Dória Neto, A.D. and 1 more (...) (2018).Fuzzy pay-off method for real options: The center of gravity approach with application in oilfield abandonment. Fuzzy Sets and Systems,353111-123",https://www.scopus.com/record/display.url?eid=2-s2.0-85044024718&origin=resultslist,10.1016/j.fss.2018.03.008,Article,,2-s2.0-85044024718,-,Pontifícia Universidade Católica do Rio de Janeiro| University of Fribourg| Universidade Federal do Rio Grande do Norte,3,60023857| 60024631| 60032361,Universidade Federal do Rio Grande do Norte| University of Fribourg| Pontifícia Universidade Católica do Rio de Janeiro,57201255828,56714995900,57201255828,-,Switzerland| Brazil,1702| 2609,Artificial Intelligence| Logic,-,"Decision Making,Fuzzy Sets,Models",211,"Costs And Cost Analysis,Lévy Process,Capital Budgeting",37367,92.709,61.403
Improved traditional directional protection by using the stationary wavelet transform,"Leal, M.M.| Costa, F.B.| Loureiro Sousa Campos, J.T.",3,57203387044| 22333585200| 57203390917,2019,2019-02-01,International Journal of Electrical Power and Energy Systems,105,-,59-69,-,ISSN-01420615,17985,Journal,1.85,8,8.9,8,1.203,13,0.27,24,15,1.5,9.99,13,19,0,"Leal, M.M., Costa, F.B., Loureiro Sousa Campos, J.T. (2019).Improved traditional directional protection by using the stationary wavelet transform. International Journal of Electrical Power and Energy Systems,10559-69",https://www.scopus.com/record/display.url?eid=2-s2.0-85051523534&origin=resultslist,10.1016/j.ijepes.2018.08.005,Article,,2-s2.0-85051523534,-,Universidade Potiguar| Universidade Federal do Rio Grande do Norte,2,60023857| 60027877,Universidade Federal do Rio Grande do Norte| Universidade Potiguar,57203387044,57203390917,57203387044,-,Brazil,2102| 2208,Energy Engineering and Power Technology| Electrical and Electronic Engineering,-,"Electric Fault Location,Electric Lines,Electric Power Distribution",407,"Electric Fault Location,Fault Detection,Power Lines",1374,64.883,97.068
A gain-scheduling control strategy and short-term path optimization with genetic algorithm for autonomous navigation of a sailboat robot,"dos Santos, D.H.| Goncalves, L.M.G.",2,57190606005| 8843298100,2019,2019-01-01,International Journal of Advanced Robotic Systems,16,1,-,-,ISSN-17298806,144749,Journal,0.99,32,3,42,0.432,48,0.67,16,15,1.36,11.04,13,22,0,"dos Santos, D.H., Goncalves, L.M.G. (2019).A gain-scheduling control strategy and short-term path optimization with genetic algorithm for autonomous navigation of a sailboat robot. International Journal of Advanced Robotic Systems,16(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85060847485&origin=resultslist,10.1177/1729881418821830,Article,Gold,2-s2.0-85060847485,-,Universidade Federal Fluminense| Universidade Federal do Rio Grande do Norte,2,60023857| 60001865,Universidade Federal do Rio Grande do Norte| Universidade Federal Fluminense,57190606005,8843298100,8843298100,-,Brazil,1702| 1706| 1712,Artificial Intelligence| Computer Science Applications| Software,-,"Autonomous Underwater Vehicles,Underwater Acoustics,Remotely Operated Vehicles",1150,"Sailing Vessels,Ice Ridge,Autonomous",49325,40.87,69.75
A comparison of machine learning approaches for detecting misogynistic speech in urban dictionary,"Lynn, T.| Endo, P.T.| Rosati, P.| Silva, I.| Santos, G.L.| Ging, D.",6,25825321500| 36160299900| 57193007878| 36537969500| 57195960665| 57126459700,2019,2019-06-01,"2019 International Conference on Cyber Situational Awareness, Data Analytics and Assessment, Cyber SA 2019",-,-,-,8899669,-,21100937412,Conference Proceeding,-,-,-,-,-,-,1.45,19,15,4.98,3.01,13,3,0,"Lynn, T., Endo, P.T., Rosati, P. and 3 more (...) (2019).A comparison of machine learning approaches for detecting misogynistic speech in urban dictionary. 2019 International Conference on Cyber Situational Awareness, Data Analytics and Assessment, Cyber SA 2019,",https://www.scopus.com/record/display.url?eid=2-s2.0-85071578374&origin=resultslist,10.1109/CyberSA.2019.8899669,Conference Paper,Green,2-s2.0-85071578374,-,Universidade de Pernambuco| Dublin City University| Universidade Federal do Rio Grande do Norte,3,60025059| 60023857| 60021980| 60025059,Dublin City University| Universidade Federal do Rio Grande do Norte| Universidade de Pernambuco| Dublin City University,25825321500,57126459700,-,-,Ireland| Brazil,1702| 1705| 2213,"Artificial Intelligence| Computer Networks and Communications| Safety, Risk, Reliability and Quality",SDG 5,"Semantics,Models,Recommender Systems",37,"Sentiment Classification,Data Mining,Product Review",108,97.86,99.855
Temperature impact in LoraWAN—A case study in northern Sweden,"Bezerra, N.S.| Åhlund, C.| Saguna, S.| de Sousa, V.A.",4,55762921400| 57191645768| 56509497100| 6603844872,2019,2019-10-02,Sensors (Switzerland),19,20,-,4414,ISSN-14248220,130124,Journal,1.62,11,5,13,0.653,24,1.34,30,15,1.59,9.41,13,18,0,"Bezerra, N.S., Åhlund, C., Saguna, S. and 1 more (...) (2019).Temperature impact in LoraWAN—A case study in northern Sweden. Sensors (Switzerland),19(20) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85073456473&origin=resultslist,10.3390/s19204414,Article,Gold|Green,2-s2.0-85073456473,31614808,Luleå University of Technology| Universidade Federal do Rio Grande do Norte,2,60007183| 60023857,Luleå tekniska Universitet| Universidade Federal do Rio Grande do Norte,55762921400,6603844872,55762921400,-,Brazil| Sweden,1303| 1602| 1710| 2208| 3105| 3107,"Biochemistry| Analytical Chemistry| Information Systems| Electrical and Electronic Engineering| Instrumentation| Atomic and Molecular Physics, and Optics",SDG 11,"Radio Frequency Identification (RFID),Technology,Internet",872,"Chloralodol,Hyaluronate Lyase,Low Power",45602,74.114,99.395
2.4–5.8 GHz dual-band patch antenna with FSS reflector for radiation parameters enhancement,"Fernandes, E.M.F.| da Silva, M.W.B.| da Silva Briggs, L.| de Siqueira Campos, A.L.P.| de Araújo, H.X.| Casella, I.R.S.| Capovilla, C.E.| Magri Souza, V.P.R.| de Matos, L.J.",9,57209687458| 57220059007| 57209681605| 16309023400| 36865976500| 7005800340| 6506703324| 57204960993| 36006732600,2019,2019-08-01,AEU - International Journal of Electronics and Communications,108,-,235-241,-,ISSN-14348411,17683,Journal,1.5,13,5.2,21,0.593,29,0.93,17,15,1.67,9,13,17,0,"Fernandes, E.M.F., da Silva, M.W.B., da Silva Briggs, L. and 6 more (...) (2019).2.4–5.8 GHz dual-band patch antenna with FSS reflector for radiation parameters enhancement. AEU - International Journal of Electronics and Communications,108235-241",https://www.scopus.com/record/display.url?eid=2-s2.0-85068438577&origin=resultslist,10.1016/j.aeue.2019.06.021,Article,,2-s2.0-85068438577,-,Universidade Federal Fluminense| Universidade Federal do Rio Grande do Norte| Universidade Federal do ABC| Universidade Federal do Tocantins,4,60001865| 60023857| 60016746| 60001430,Universidade Federal Fluminense| Universidade Federal do Rio Grande do Norte| Universidade Federal do Tocantins| Universidade Federal do ABC,57209687458,36006732600,-,-,Brazil,2208,Electrical and Electronic Engineering,-,"Antennas,Slot Antennas,Microwave Antennas",55,"Frequency Selective Surfaces,Radomes,Polarization",3944,93.043,96.63
Project-based learning applied to an embedded systems course,"Fernandes, M.A.C.",1,7202947679,2017,2017-07-01,International Journal of Electrical Engineering and Education,54,3,223-235,-,ISSN-00207209,17966,Journal,0.53,62,1,59,0.242,56,0.87,21,15,1.28,7.01,21,23,0,"Fernandes, M.A.C. (2017).Project-based learning applied to an embedded systems course. International Journal of Electrical Engineering and Education,54(3) 223-235",https://www.scopus.com/record/display.url?eid=2-s2.0-85022058974&origin=resultslist,10.1177/0020720916675830,Article,,2-s2.0-85022058974,-,Universidade Federal do Rio Grande do Norte,1,60023857,Universidade Federal do Rio Grande do Norte,-,-,7202947679,7202947679,Brazil,2208| 3304,Electrical and Electronic Engineering| Education,-,"Students,Teaching,Engineering Education; Laboratories",633,"Embedded Systems,Education,Field Programmable Gate Array",32415,31.438,70.517
